facility_id,country_name,facility_name,city,operational_status,year_operational,facility_type,control_category,control_rationale,hyperscaler_presence,chinese_role,operator_name,ownership_type,major_shareholders,controlling_entities,control_mechanisms,dfi_involvement,investment_usd,key_tenants,ultimate_parent_hq_country,ultimate_parent_company,control_confidence
SEN-003,Senegal,Yas Diamniadio Data Center,Diamniadio,Operational,2017,Colocation/carrier-neutral,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Yas (formerly Free Senegal; formerly Tigo),Private domestic,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Tigo/Free/Yas enterprise customers; Avanti Communications satellite partner,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
SEN-005,Senegal,STELLARIX Senegal,Diamniadio,Operational,,Colocation/carrier-neutral,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,STELLARIX (Axian Group),Private foreign,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Local enterprises; public institutions; telcos,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
SEN-006,Senegal,Free Data Center Diamniadio,Diamniadio,Decommissioned,2019,Enterprise,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Free au Senegal (now Yas),Private domestic,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Free Senegal enterprise customers; Avanti Communications,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
SEN-007,Senegal,PAIX Dakar (DKR-1),Dakar,Under construction,2026,Colocation/carrier-neutral,African control,African ultimate parent (Morocco),No,None identified,PAIX Data Centres,Private foreign,"No exact % available; Africa50 (major equity), Invest International, Series A privates; Africa50 top: African countries (undisclosed %)",Africa50 (lead investor),"Africa50 board: 12 directors (>=50% independent), shareholder-appointed; investment committees","Invest International (DGGF Dutch DFI, â‚¬2.75M loan); AfDB (Africa50 shareholder) [Invest Int](https://investinternational.nl/success-stories/connecting-africa-paix-boosts-essential-online-services/)",10000000,AFR-IX Telecom; CDN and cloud providers (stated strong interest),Morocco,Africa50,high
SEN-008,Senegal,Senelec Datacenter Diamniadio,Diamniadio,Operational,,Government,African control,African ultimate parent (Senegal),No,Construction/Equipment,Senelec,Government / SOE,State of Senegal (100%),Government of Senegal (State of Senegal),Equity,None identified,,Senelec (internal); government utility operations,Senegal,Government of Senegal (State of Senegal),high
SLE-003,Sierra Leone,Africell Sierra Leone Data Centre,Freetown,Under construction,,Enterprise,US control,Jersey-incorporated; US-owned per register note (US investor base incl. US DFC),No,Construction/Equipment,Africell Sierra Leone,Private foreign,"Ziad Dalloul (significant influence/control, founder/CEO, US national)","Africell Global Holdings Ltd (Jersey-incorporated, US-owned)",Equity,US DFC (predecessor OPIC) provided $100M financing to Africell Holding Limited [DFC Public Summary](https://www.dfc.gov/sites/default/files/2019-08/9000042686.pdf),,Government of Sierra Leone (stated intent); NGOs,UK,"Africell Global Holdings Ltd (Jersey-incorporated, US-owned)",medium
SOM-001,Somalia,Hormuud Telecom Cable Landing Station and Data Centre,Mogadishu,Operational,2022,Enterprise,African control,African ultimate parent (Somalia),No,Construction/Equipment,Hormuud Telecom Somalia Inc,Private domestic,Thousands of Somali nationals and diaspora; possibly significant holdings by board members like Ahmed Mohamed Yusuf (Chairman) and Jumale family (board directors) [Hormuud Board](https://hormuud.com/board-directors),No single true owner; widely held by thousands of Somali shareholders (primarily diaspora and locals),Equity,None identified; World Bank PPI page lists project but no funding/ownership details [World Bank PPI](https://ppi.worldbank.org/en/snapshots/project/hormud-telecom-somalia-2877),,ISPs; Telecom operators; Enterprise,Somalia,No single true owner; widely held by thousands of Somali shareholders (primarily diaspora and locals),high
SOM-002,Somalia,Somalia National Data Centre,Mogadishu,Under construction,,Government,African control,African ultimate parent (Somalia),No,Construction/Equipment,Ministry of Communications and Technology,Government / SOE,None (state-owned),Federal Government of Somalia,Equity,None identified,,Federal Government ministries,Somalia,Federal Government of Somalia,high
SOM-003,Somalia,Somtel Network Data Facility Hargeisa,Hargeisa,Operational,,Enterprise,African control,Somali controlling shareholder; UAE co-domicile,No,None identified,Somtel (National Link Telecom),Private domestic,"Abdirizak Ido (Somali, founder, President, controlling shareholder)",Abdirizak Ido (controlling shareholder),Equity,None directly; sector supported by World Bank but no ownership stake,,Somtel enterprise clients; Somaliland government,Somalia / UAE,Abdirizak Ido (controlling shareholder),medium
SSD-001,South Sudan,South Sudan National Data Centre (MGI/NCA),Juba,Operational,,Government,Other foreign control,Ultimate parent HQ: Switzerland,No,None identified,MGI Communications AG (operator); NCA (regulator),Joint venture (majority foreign),No significant shareholders (>3%) disclosed in public records,Undisclosed private owners (likely Dr. Ali Gibreil Musa and/or Dr. Sumaya Sabiela Abo Youssef Gibreil Musa),Equity,None found,,Government of South Sudan; NCA,Switzerland,Undisclosed private owners (likely Dr. Ali Gibreil Musa and/or Dr. Sumaya Sabiela Abo Youssef Gibreil Musa),high
TCD-001,Chad,Chad National Data Center (PMICE Phase I),N'Djamena,Under construction,,Government,African control,African ultimate parent (Chad),No,Construction/Equipment,SOTEL (Societe des Telecommunications du Tchad),Government / SOE,100% Government of Chad,Government of the Republic of Chad,Equity,"None direct in data center ownership; World Bank funds separate digital project, AfDB on unrelated fiber [World Bank](https://documents1.worldbank.org/curated/en/099102502282341480/pdf/P180000048eed6040a13200ddaf8abe650.pdf)",204700000,Government ministries; state agencies,Chad,Government of the Republic of Chad,high
TGO-002,Togo,Cloud & Racks Datacenter,Lomé,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Togo),No,None identified,Cloud & Racks Datacenter,Private domestic,Not publicly disclosed; CEO Ayikido Noagbodji (Togolese),Privately held; likely owned by Togolese nationals including CEO Ayikido Noagbodji; managed by local Cloud Factory and NETMASTER,Equity,None identified,,,Togo,Privately held; likely owned by Togolese nationals including CEO Ayikido Noagbodji; managed by local Cloud Factory and NETMASTER,high
TZA-001,Tanzania,National Internet Data Centre (NIDC),Dar es Salaam,Operational,2016,Government,African control,African ultimate parent (Tanzania),No,Construction/Equipment,Tanzania Telecommunications Corporation (TTCL),Government / SOE,Government of Tanzania (100%),Government of the United Republic of Tanzania,Equity,None identified for NIDC or TTCL data center,93600000,Government ministries; public institutions; commercial enterprises,Tanzania,Government of the United Republic of Tanzania,high
TZA-003,Tanzania,Yas Salasala Data Centre (formerly Tigo Tanzania Salasala),Dar es Salaam,Operational,,Enterprise,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Yas Tanzania (formerly Tigo Tanzania),Private domestic,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Government agencies; ISPs; enterprises,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
TZA-008,Tanzania,SEACOM Dar es Salaam Cable Landing Station,Dar es Salaam,Operational,2009,Colocation/carrier-neutral,African control,75% African-owned per company; Remgro/Sanlam/Convergence 60% SA + AKFED/IPS 30% East-Africa-aligned (Swiss-domiciled),No,None identified,SEACOM,Private foreign,"Remgro 30% ([Remgro](https://www.remgro.com/group-investments/infrastructure/)), IPS/AKFED 25-30% ([SEACOM](https://seacom.com/company)), Sanlam, Solcon Capital",None (private consortium),Equity,IFC debt financing ([IFC](https://disclosures.ifc.org/project-detail/SII/46239/seacom-debt)),,Telecoms carriers; ISPs; bandwidth providers,,None (private consortium),medium
TZA-009,Tanzania,TTCL Telephone House Data Centre,Dar es Salaam,Operational,,Enterprise,African control,African ultimate parent (Tanzania),No,Construction/Equipment,Tanzania Telecommunications Corporation (TTCL),Government / SOE,Government of Tanzania (100%),Government of the United Republic of Tanzania,Equity,None identified for NIDC or TTCL data center,,Telecoms operators; ISPs; government institutions,Tanzania,Government of the United Republic of Tanzania,high
TZA-011,Tanzania,TIX - Tanzania Internet Exchange (Posta House),Dar es Salaam,Operational,,Edge,African control,African ultimate parent (Tanzania),No,None identified,TISPA (Tanzania Internet Service Providers Association),Private domestic,"N/A - members are Tanzanian and regional ISPs (e.g., TTCL, Airtel Tanzania)",None - member-governed non-profit association,Equity,None identified,,ISPs; telecoms operators; CDNs; content providers,Tanzania,None - member-governed non-profit association,high
TZA-012,Tanzania,DarIX - Dar es Salaam Internet Exchange,Dar es Salaam,Operational,,Edge,Unknown,No ultimate parent HQ recorded and no rule matched,No,None identified,Unknown,Unknown,,,,,,ISPs; telecoms operators,,,low
TZA-013,Tanzania,Aptus Solutions Data Centre,Dar es Salaam,Operational,,Colocation/carrier-neutral,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Aptus Solutions Ltd,Private domestic,"Hassanein Hiridjee (French-Malagasy, founder and controller)",Axian Telecom Fibre Limited (wholly-owned subsidiary of Axian Telecom Holding and Management PLC),Equity,"Yes - IFC, EIB Global, British International Investment (BII), EAAIF (PIDG) provided debt financing/investments to Axian Telecom group",,SMEs; businesses in Dar es Salaam,UAE,Axian Telecom Fibre Limited (wholly-owned subsidiary of Axian Telecom Holding and Management PLC),high
TZA-015,Tanzania,Datalabs (T) Ltd Data Centre,Dar es Salaam,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Tanzania),No,None identified,DataLabs (T) Ltd,Private domestic,Not publicly disclosed,Unknown - no public information on ultimate owners or parent company found,Equity,None identified,,SMEs; ISPs; enterprises,Tanzania,Unknown - no public information on ultimate owners or parent company found,high
TZA-016,Tanzania,eGA Government Data Centre (Dodoma),Dodoma,Operational,,Government,African control,African ultimate parent (Tanzania),No,Construction/Equipment,e-Government Authority (eGA),Government / SOE,Government of Tanzania (100%),Government of the United Republic of Tanzania,Equity,None identified for NIDC or TTCL data center,,Government ministries; public institutions; MDAs and LGAs,Tanzania,Government of the United Republic of Tanzania,high
UGA-009,Uganda,CFTS Data Centre,Kampala,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Uganda),No,None identified,CFTS (Computer Facilities Technical Services),Private domestic,"Tasha Mabonga-Atkin (CEO, majority shareholder, Ugandan); Peter Atkin (Founder/CTO, likely UK origin); other co-founders/local team (Suzan Nanyonga etc., Ugandan/Rwandan)","Locally owned by founders Tasha Mabonga-Atkin (majority shareholder, Ugandan) and Peter Atkin (likely British, Uganda-based since 1994)",Equity,None identified,,Embassies; NGOs; energy sector; SMEs; extraction companies,Uganda,"Locally owned by founders Tasha Mabonga-Atkin (majority shareholder, Ugandan) and Peter Atkin (likely British, Uganda-based since 1994)",high
UGA-010,Uganda,Roke Telkom Data Centre,Kampala,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Uganda),No,None identified,Roke Telkom,Private domestic,"Kenneth Kiiza (Ugandan, founder/Chairman); likely other Ugandan founders (e.g. Roger Sekaziga)","Founder-led private company (Kenneth Kiiza, Chairman and founder)",Equity,"None in ownership; USAID grant/partnership for infrastructure (2024, non-equity)",,Enterprise clients; Airtel Uganda; financial services,Uganda,"Founder-led private company (Kenneth Kiiza, Chairman and founder)",high
UGA-013,Uganda,Centenary Group Green Tier III Data Centre (Masaka),Masaka,Under construction,2026,Colocation/carrier-neutral,African control,African ultimate parent (Uganda),No,None identified,Centenary Technology Services (CenteTech),Private domestic,"Catholic Dioceses in Uganda (~41.4%), Uganda Episcopal Conference (~31.7%), European funds including SIDI (France) (minority) [Centenary Group Integrated Report 2022](https://www.centenarybank.co.ug/assets/uploads/reports/CentenaryAR_IM_070623_Lite.pdf), [Reuters](https://www.tradingview.com/news/reuters.com,2025:newsml_L8N3PU0U2:0-uganda-s-centenary-group-to-list-5-10-stake-on-local-bourse/)",Centenary Group (self; controlled by Ugandan Catholic Church entities),Equity,"None identified (SIDI is private development investor, not DFI)",,Centenary Bank; enterprises; financial services; government; regional DR clients (Uganda; Tanzania; Rwanda; Eastern DRC),Uganda,Centenary Group (self; controlled by Ugandan Catholic Church entities),high
UGA-016,Uganda,Simbanet Uganda DC (Edge),Kampala,Operational,,Edge,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Simbanet (U) Limited,Private foreign,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Enterprises; SMEs; ISP customers; schools,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
ZAF-036,South Africa,Xneelo Samrand (JNB1),Johannesburg (Centurion/Samrand),Operational,2013,Colocation/carrier-neutral,African control,African ultimate parent (South Africa),No,None identified,Xneelo,Private domestic,"Founders: Hans Wencke (Managing Director/CEO), Martin Hetzner; percentages undisclosed [Wikipedia](https://en.wikipedia.org/wiki/Xneelo) [Hostings.info](https://hostings.info/hosting/companies/xneelo-co-za)","None - privately held by South African founders (Hans Wencke, Martin Hetzner)",Equity,None found,,Web hosting clients; SMEs; enterprises,South Africa,"None - privately held by South African founders (Hans Wencke, Martin Hetzner)",high
ZAF-040,South Africa,Hetzner South Africa Cape Town DC,Cape Town (Rondebosch),Operational,2000,Colocation/carrier-neutral,African control,African ultimate parent (South Africa),No,None identified,Hetzner South Africa (Pty) Ltd,Private domestic,Hans Wencke (likely 100%),Hans Wencke (founder and owner),Equity,None found,,SMEs; web hosting clients; developers,South Africa,Hans Wencke (founder and owner),high
ZAF-046,South Africa,RSAWEB Cape Town DC2,Cape Town (CBD),Operational,2009,Colocation/carrier-neutral,African control,African ultimate parent (South Africa),No,None identified,RSAWEB Internet Services,Private domestic,"Tario 892 (100% sole control); pre-merger: founders' SPVs (55%), Main Street 1789/Tario (45%). No exact % for Tario controllers.",Tario 892 (Pty) Ltd (jointly controlled; no single ultimate owner),Equity,STOA (French DFI backed by CDC/AFD) is joint controller of parent,,SMEs; web hosting clients; ISPs,South Africa,Tario 892 (Pty) Ltd (jointly controlled; no single ultimate owner),high
ZMB-001,Zambia,INFRATEL Primary Data Centre,Lusaka,Operational,2015,Government,African control,African ultimate parent (Zambia),No,Construction/Equipment,INFRATEL Corporation,Government / SOE,Government of Zambia (100%),Government of the Republic of Zambia (via Industrial Development Corporation),Equity,None identified,,ZICTA; Government of Zambia; Enterprise; Banks,Zambia,Government of the Republic of Zambia (via Industrial Development Corporation),high
ZMB-002,Zambia,INFRATEL Production Data Centre,Lusaka,Operational,2016,Government,African control,African ultimate parent (Zambia),No,Construction/Equipment,INFRATEL Corporation,Government / SOE,Government of Zambia (100%),Government of the Republic of Zambia (via Industrial Development Corporation),Equity,None identified,,Government of Zambia; ZICTA; Enterprise,Zambia,Government of the Republic of Zambia (via Industrial Development Corporation),high
ZMB-003,Zambia,INFRATEL National Data Centre 3,Lusaka,Operational,2018,Government,African control,African ultimate parent (Zambia),No,Construction/Equipment,INFRATEL Corporation,Government / SOE,Government of Zambia (100%),Government of the Republic of Zambia (via Industrial Development Corporation),Equity,None identified,,Government ministries; Enterprise,Zambia,Government of the Republic of Zambia (via Industrial Development Corporation),high
ZWE-002,Zimbabwe,TelOne Harare Data Centre,Harare,Operational,2008,Colocation/carrier-neutral,African control,African ultimate parent (Zimbabwe),No,Construction/Equipment,TelOne (Pvt) Ltd,Government / SOE,Government of Zimbabwe (100%),Government of Zimbabwe,Equity,None identified,,ISPs; MNOs; Enterprise; Government,Zimbabwe,Government of Zimbabwe,high
AGO-001,Angola,AngoNAP Luanda,Luanda,Operational,2012,Colocation/carrier-neutral,African control,African ultimate parent (Angola),Yes,Construction/Equipment,Angola Cables,Government / SOE,"Angola Telecom [51%](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/), Unitel [31%](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/)",Angolan Government (via 100% ownership of Angola Telecom),Equity,None found (JBIC financed SACS cable via BDA; not direct DFI equity/project finance),,Angola Telecom; Unitel; MSTelcom; Movicel; Startel,Angola,Angolan Government (via 100% ownership of Angola Telecom),high
AGO-002,Angola,Paratus Angola DC1,Luanda,Operational,2017,Colocation/carrier-neutral,African control,African ultimate parent (Namibia),Yes,None identified,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,"[Paratus Group Holdings LTD](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (53.8%), [Government Institutions Pension Fund](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (17.7%), Schalk van Zyl Erasmus (2.81%), individuals/institutions (remaining; top 10 own 76.65%)","Paratus Group Holdings LTD (53.8% of PNH), Paratus execs on board (CEO, Chairman)","Majority stake in PNH; executive directors from Paratus Group (Schalk Erasmus CEO, Bartholomeus Harmse Chairman) per [paratus.africa/invest](https://paratus.africa/invest/)",EAIF (PIDG) $31m debt (2023) [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/); USTDA grant for Namibia cellular feasibility; IFC performance standards referenced in reports,,Banks; government entities; oil and gas companies,Namibia,"Paratus Group Holdings LTD (private, no further public ownership details)",high
AGO-003,Angola,Paratus Angola DC2,Luanda,Operational,2019,Colocation/carrier-neutral,African control,African ultimate parent (Namibia),Yes,None identified,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,"[Paratus Group Holdings LTD](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (53.8%), [Government Institutions Pension Fund](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (17.7%), Schalk van Zyl Erasmus (2.81%), individuals/institutions (remaining; top 10 own 76.65%)","Paratus Group Holdings LTD (53.8% of PNH), Paratus execs on board (CEO, Chairman)","Majority stake in PNH; executive directors from Paratus Group (Schalk Erasmus CEO, Bartholomeus Harmse Chairman) per [paratus.africa/invest](https://paratus.africa/invest/)",EAIF (PIDG) $31m debt (2023) [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/); USTDA grant for Namibia cellular feasibility; IFC performance standards referenced in reports,,Banks; government entities; oil and gas companies,Namibia,"Paratus Group Holdings LTD (private, no further public ownership details)",high
AGO-004,Angola,Paratus Angola DC3 (planned Tier IV),Luanda,Planned,,Colocation/carrier-neutral,African control,African ultimate parent (Namibia),Yes,None identified,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,"[Paratus Group Holdings LTD](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (53.8%), [Government Institutions Pension Fund](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership) (17.7%), Schalk van Zyl Erasmus (2.81%), individuals/institutions (remaining; top 10 own 76.65%)","Paratus Group Holdings LTD (53.8% of PNH), Paratus execs on board (CEO, Chairman)","Majority stake in PNH; executive directors from Paratus Group (Schalk Erasmus CEO, Bartholomeus Harmse Chairman) per [paratus.africa/invest](https://paratus.africa/invest/)",EAIF (PIDG) $31m debt (2023) [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/); USTDA grant for Namibia cellular feasibility; IFC performance standards referenced in reports,31000000,,Namibia,"Paratus Group Holdings LTD (private, no further public ownership details)",high
AGO-012,Angola,Raxio Angola AG1,Cacuaco,Operational,2025,Colocation/carrier-neutral,Joint foreign (US/EU),"Roha Group (US, 48.5%) + Meridiam (France, 46.5%) joint control; US legal nexus present",Yes,Construction/Equipment,Raxio Group,Private foreign,"1. Roha Group (48.5%), 2. Meridiam Infrastructure Africa Fund FIPS (46.5%), 3. Employee Foundation (5%). Data from ~2023 IFC project docs; recent equity raises by same shareholders, no change indicated.",Roha Group and Meridiam (majority stakeholders),"Board control by major shareholders (e.g., Marvin Bell from Meridiam, Brooks Washington from Roha noted in announcements); Roha as founding investor likely has strategic influence.","Significant: IFC ($100M debt 2025), Proparco ($110M+ debt 2023), EAIF/PIDG ($ part of $170M 2023), MIGA (insurance/policy 2022).",30000000,Government agencies; mobile network operators; multinationals; SMEs,N/A (jointly controlled by US and France-based entities),"No single ultimate parent; controlled by Roha Group (48.5%, US) and Meridiam (46.5%, France)",high
AGO-013,Angola,Angola National Data Centre (INFOSI),Luanda,Under construction,,Government,African control,African ultimate parent (Angola),Yes,Construction/Equipment,INFOSI (National Institute for Promotion of Information Society),Joint venture (majority domestic),N/A (fully state-owned ministry),Government of Angola,Equity,None identified,90000000,All Angolan government ministries and agencies,Angola,Government of Angola,high
BEN-003,Benin,MTN Benin Data Centre (Cotonou),Cotonou,Operational,,Enterprise,African control,African ultimate parent (South Africa),Yes,Construction/Equipment,MTN Benin,Private foreign,"1. Government Employees Pension Fund (PIC): 19.44%; 2. M1 Limited: 5.78% (Dec 2024); est. others: Capital Research ~7%, Coronation ~5% [MTN FY24 AFS](https://www.mtn.com/wp-content/uploads/2025/04/MTN-Group-FY-24-Annual-Financial-Statements.pdf), [Simply Wall St](https://simplywall.st/stocks/us/telecom/otc-mtno.y/mtn-group/ownership)",None; largest PIC 19.44%,"One-share-one-vote; majority independent board (Mcebisi Jonas Chair); JSE rules (75% for some resolutions) [MatrixBCG](https://matrixbcg.com/blogs/owners/mtn), [MTN Leadership](https://www.mtn.com/leadership/)","Historical: IFC $100M (2003 Nigeria), $50M loan (recent?); AfDB $500k grant fintech study; no major recent equity/debt for Group [World Bank](https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/099701402242637666)",,,South Africa,MTN Group Limited (standalone),high
BEN-004,Benin,MTN Benin Edge Site (Bohicon),Bohicon,Operational,,Edge,African control,African ultimate parent (South Africa),Yes,Construction/Equipment,MTN Benin,Private foreign,"1. Government Employees Pension Fund (PIC): 19.44%; 2. M1 Limited: 5.78% (Dec 2024); est. others: Capital Research ~7%, Coronation ~5% [MTN FY24 AFS](https://www.mtn.com/wp-content/uploads/2025/04/MTN-Group-FY-24-Annual-Financial-Statements.pdf), [Simply Wall St](https://simplywall.st/stocks/us/telecom/otc-mtno.y/mtn-group/ownership)",None; largest PIC 19.44%,"One-share-one-vote; majority independent board (Mcebisi Jonas Chair); JSE rules (75% for some resolutions) [MatrixBCG](https://matrixbcg.com/blogs/owners/mtn), [MTN Leadership](https://www.mtn.com/leadership/)","Historical: IFC $100M (2003 Nigeria), $50M loan (recent?); AfDB $500k grant fintech study; no major recent equity/debt for Group [World Bank](https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/099701402242637666)",,,South Africa,MTN Group Limited (standalone),high
BWA-003,Botswana,Orange Botswana Data Center,Gaborone,Operational,,Colocation/carrier-neutral,Other foreign control,Ultimate parent HQ: France,Yes,Construction/Equipment,Orange Botswana,Private foreign,"French Government (~13.4%), Bpifrance (~9.6%), Employee schemes (~8-11%), Amundi/Societe Generale/Caisse des Depots (~1-3% each) ([MarketScreener](https://www.marketscreener.com/quote/stock/ORANGE-S-A-78824405/company-shareholders/), [Orange Annual Report 2024-25](https://rai.orange.com/wp-content/uploads/sites/54/2025/06/integrated-annual-report-2024-2025.pdf))","French Government (13.4%), Bpifrance (9.6%), combined ~23% capital, higher voting via double rights for long-held shares ([MarketScreener](https://www.marketscreener.com/quote/stock/ORANGE-S-A-78824405/company-shareholders/))","Double voting rights for shares held >2 years in registered form; 3 public sector directors on 14-member board (7 independent, 3 employee reps); no golden share ([Orange Board](https://www.orange.com/en/our-group/our-governance/our-board-of-directors))",IFC â‚¬50M + â‚¬30M mobilized for Orange Mali towers/fiber (2025); partnership for digital infra in 8 WA/Central Africa countries ([IFC](https://www.ifc.org/en/pressroom/2025/ifc-invests-in-orange-mali-to-expand-digital-connectivity-and-support-women-s-digi)),,Enterprise clients; SMEs,France,Orange SA,high
CAF-001,Central African Republic,SOCATEL National Digital Hub (Planned Tier III DC),Bangui,Planned,,Government,Unknown,Greenline Technologies Inc registration/control not established from register,Yes,None identified,Greenline Technologies Inc. / SOCATEL,PPP,Not disclosed (private company),,Equity,None direct; CAR project amid $9B WB/IFC/EU commitments to CAR but no Greenline-specific [SOCATEL News](https://greenline-tech.com/news/Greenline-Technologies-Awarded-Landmark-Privatization-of-SOCATEL-in-the-Central-African-Republic),,Government; telecom operators,,None identified (appears standalone private company),low
CIV-001,Cote d'Ivoire,Equinix AB1 (formerly MDXi/MainOne Abidjan),Grand Bassam,Operational,2019,Colocation/carrier-neutral,US control,Equinix Inc (NASDAQ),Yes,None identified,Equinix,Private foreign,"Vanguard Group (13.64%), BlackRock (10.99%), State Street (6.32%), FMR LLC (2.86%), Cohen & Steers (2.66%) [Yahoo Finance](https://finance.yahoo.com/quote/EQIX/holders/)",,Equity,None recent; pre-2022 AfDB funded MainOne cable (2009),320000000,ISPs; telecom operators; MNOs; global content providers; enterprises,USA,"Equinix, Inc.",high
CIV-004,Cote d'Ivoire,Orange GOS Data Centre Grand Bassam,Grand Bassam,Operational,2016,Enterprise,Other foreign control,Ultimate parent HQ: France,Yes,Construction/Equipment,Groupement Orange Services (GOS),Private foreign,"French Government (~13.4%), Bpifrance (~9.6%), Employee schemes (~8-11%), Amundi/Societe Generale/Caisse des Depots (~1-3% each) ([MarketScreener](https://www.marketscreener.com/quote/stock/ORANGE-S-A-78824405/company-shareholders/), [Orange Annual Report 2024-25](https://rai.orange.com/wp-content/uploads/sites/54/2025/06/integrated-annual-report-2024-2025.pdf))","French Government (13.4%), Bpifrance (9.6%), combined ~23% capital, higher voting via double rights for long-held shares ([MarketScreener](https://www.marketscreener.com/quote/stock/ORANGE-S-A-78824405/company-shareholders/))","Double voting rights for shares held >2 years in registered form; 3 public sector directors on 14-member board (7 independent, 3 employee reps); no golden share ([Orange Board](https://www.orange.com/en/our-group/our-governance/our-board-of-directors))",IFC â‚¬50M + â‚¬30M mobilized for Orange Mali towers/fiber (2025); partnership for digital infra in 8 WA/Central Africa countries ([IFC](https://www.ifc.org/en/pressroom/2025/ifc-invests-in-orange-mali-to-expand-digital-connectivity-and-support-women-s-digi)),,Orange OMEA subsidiaries; BtoB enterprise customers,France,Orange SA,high
